Month,best restaurants brisbane: (Queensland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,43
2004-07,0
2004-08,37
2004-09,0
2004-10,0
2004-11,40
2004-12,0
2005-01,39
2005-02,37
2005-03,0
2005-04,0
2005-05,0
2005-06,29
2005-07,27
2005-08,0
2005-09,25
2005-10,0
2005-11,23
2005-12,27
2006-01,22
2006-02,21
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,14
2006-09,0
2006-10,28
2006-11,14
2006-12,17
2007-01,21
2007-02,20
2007-03,0
2007-04,12
2007-05,10
2007-06,11
2007-07,0
2007-08,10
2007-09,22
2007-10,10
2007-11,10
2007-12,12
2008-01,0
2008-02,21
2008-03,15
2008-04,15
2008-05,9
2008-06,10
2008-07,0
2008-08,0
2008-09,25
2008-10,18
2008-11,20
2008-12,12
2009-01,10
2009-02,15
2009-03,9
2009-04,19
2009-05,30
2009-06,17
2009-07,9
2009-08,16
2009-09,34
2009-10,15
2009-11,24
2009-12,32
2010-01,29
2010-02,24
2010-03,17
2010-04,42
2010-05,43
2010-06,45
2010-07,18
2010-08,53
2010-09,42
2010-10,63
2010-11,29
2010-12,30
2011-01,29
2011-02,34
2011-03,40
2011-04,24
2011-05,32
2011-06,35
2011-07,42
2011-08,37
2011-09,37
2011-10,20
2011-11,38
2011-12,52
2012-01,58
2012-02,58
2012-03,28
2012-04,35
2012-05,43
2012-06,39
2012-07,47
2012-08,47
2012-09,49
2012-10,39
2012-11,52
2012-12,39
2013-01,45
2013-02,49
2013-03,48
2013-04,42
2013-05,46
2013-06,55
2013-07,54
2013-08,61
2013-09,41
2013-10,41
2013-11,58
2013-12,58
2014-01,53
2014-02,63
2014-03,59
2014-04,44
2014-05,66
2014-06,61
2014-07,55
2014-08,54
2014-09,55
2014-10,57
2014-11,49
2014-12,73
2015-01,67
2015-02,73
2015-03,51
2015-04,76
2015-05,76
2015-06,83
2015-07,86
2015-08,75
2015-09,70
2015-10,77
2015-11,64
2015-12,77
2016-01,84
2016-02,100
2016-03,70
2016-04,87
2016-05,74
2016-06,79
2016-07,83
2016-08,72
2016-09,75
2016-10,94
2016-11,79
2016-12,95
2017-01,79
2017-02,80
2017-03,64
2017-04,83
2017-05,82
2017-06,73
2017-07,85
2017-08,75
2017-09,87
2017-10,90
2017-11,79
2017-12,89
2018-01,83
2018-02,88
2018-03,67
2018-04,73
2018-05,75
2018-06,83
2018-07,77
2018-08,72
2018-09,84
2018-10,81
2018-11,76
2018-12,77
2019-01,72
2019-02,90
2019-03,81
2019-04,76
